feature,mean_abs_shap
interruption_rate,0.032871478715237885
longest_monologue_length,0.025691676959606436
sentiment_progression,0.018934157670134684
interruption_pattern,0.01704894060809272
total_interruptions,0.014818367899278689
agent_talk_percentage,0.013113590496557522
sentiment_early_middle,0.013036068889940808
timezone,0.011080837416590744
call_result_tag,0.01102289629697872
name_usage_count,0.010950876964802616
conversation_balance,0.010924923102506784
technical_quality_score,0.010587631446303923
time_to_reason_seconds,0.010128263188319882
total_call_duration,0.009088278410212022
TO_OMC_Duration,0.008863017849556646
primary_disconnect_reason,0.008848504734041746
customer_talk_percentage,0.008641559889272874
medium_monologues,0.008609842616500975
average_monologue_length,0.008288906971523484
sentiment_closing,0.007522550053635687
goal1_questions,0.007151170159325776
TO_length_in_sec,0.007017693792551997
call_structure_clarity,0.0069629263130209645
location_mentioned,0.006449470538215513
customer_marketing_experience,0.006410981697432034
stages_skipped,0.006347588366214648
Dial Attempt Calls,0.005940916867932971
customer_sentiment_omc,0.005543729320251956
notable_sentiment_shifts,0.005517523968303432
disconnect_stage,0.005405528018971994
hang_up_initiated_by,0.005049683080586398
total_objections,0.004432744822851481
stages_out_of_order,0.004274331365663302
customer_availability,0.00421839783431465
rapport_elements_count,0.004159901913976255
signal_ratio,0.0040086663340054025
talk_ratio_classification,0.004000297575586652
ready_for_customers,0.003920064627452688
goal2_questions,0.003858456999072315
sentiment_opening,0.003495318364526087
sentiment_late_middle,0.003403619574417023
long_monologues,0.003307960431173024
Calls Count,0.0031598376038977196
objections_rebutted,0.0031558784340236594
technical_quality_issues,0.003152988045653108
customer_frustrations,0.003104824974538821
price_timeline_contract_before_dropoff,0.0029208126670857435
time_in_final_stage,0.002874009006147301
total_discovery_questions,0.002622499091558054
Connection Made Calls,0.002588750094035575
business_type_mentioned,0.0023094948699739263
extended_monologues_count,0.0022788715494980226
short_monologues,0.0022486046309676063
script_adherence,0.0019897744457826466
customer_sentiment_lgs,0.0018972343247846198
total_resistance_signals,0.0016861734479496943
acknowledgement_rate,0.001587697279618393
empathy_responses,0.001548820840604485
name_used_first_minute,0.0015482817355841499
very_long_monologues,0.0014192184837495546
commitment_type,0.001395713583158246
omc_agent_sentiment_style,0.0012670859225582356
objections_acknowledged,0.0010788814081138486
call_structure_framed,0.0010407087011309573
ready_to_transfer,0.0010353715104627066
season_status,0.0009714862269067273
lgs_agent_gender,0.0009100310091022954
lgs_call_not_transferred,0.0008376427785317575
price_mentions_final_2min,0.0008331792495333337
total_buying_signals,0.0007637101620505571
discovery_quality,0.0007404615085237539
lgs_sentiment_style,0.0006360999581572921
commitment_clarity,0.0006088731118552679
empathy_response_rate,0.0005046145980272048
who_said_hello_first_lgs,0.0005022924835472452
timeline_mentions_final_2min,0.0004834811164247504
tone_assessment,0.0004682166913392129
followup_scheduled,0.0004597099475171384
premature_closing_attempt,0.0003660777863777092
within_45_seconds,0.0003311495058047723
is_decision_maker,0.00024196837742018716
assumptive_language_used,0.000232497867227524
advanced_discovery_used,0.0002255986378297293
goal3_questions,0.00021093938495537107
customer_knows_marketing,0.00020835001156056833
roi_calculation_presented,0.00020120145739676993
personal_greeting,0.00015431669280668332
customer_language,7.007854945096945e-05
common_ground_established,6.481496582892415e-05
season_month,0.0
forbidden_industry,0.0
contract_mentions_final_2min,0.0
omc_who_said_hello_first,0.0
full_sale_closed,0.0
payment_info_collected,0.0
