Variable,XGB_Importance
total_buying_signals,0.51710993
objections_rebutted,0.15020642
total_discovery_questions,0.115336254
technical_quality_issues,0.10407748
LQ_Company_Address,0.026614528
LQ_Service,0.023915937
TO_User_M,0.022682376
LQ_Company_Name,0.017258825
technical_quality_score,0.008148156
time_to_reason_seconds,0.007056637
customer_talk_percentage,0.003486547
LQ_Customer_Name,0.0023357833
TO_Event_O,0.0010612402
TO_length_in_sec,0.00070995325
is_decision_maker,0.0
lgs_agent_gender,0.0
lgs_sentiment_style,0.0
season_status,0.0
timezone,0.0
Connection Made Calls,0.0
Calls Count,0.0
ready_for_customers,0.0
customer_availability,0.0
customer_knows_marketing,0.0
customer_language,0.0
customer_marketing_experience,0.0
customer_sentiment_omc,0.0
forbidden_industry,0.0
ready_to_transfer,0.0
customer_sentiment_lgs,0.0
omc_who_said_hello_first,0.0
omc_agent_sentiment_style,0.0
TO_OMC_Disposiion,0.0
who_said_hello_first_lgs,0.0
business_type_mentioned,0.0
within_45_seconds,0.0
call_structure_framed,0.0
location_mentioned,0.0
total_objections,0.0
objections_acknowledged,0.0
timeline_mentions_final_2min,0.0
price_mentions_final_2min,0.0
contract_mentions_final_2min,0.0
total_interruptions,0.0
commitment_type,0.0
call_result_tag,0.0
