Model,Train_Accuracy,Test_Accuracy,Train_F1,Test_F1,AUC_ROC,Overfitting_Gap,CV_Mean,CV_Std
Random Forest,0.9976525821596244,0.994535519125683,0.9976525821596244,0.994535519125683,0.9997909761414195,0.0031170630339413252,0.9941314069487444,0.003720364827766605
Gradient Boosting,0.9988262910798122,0.9972677595628415,0.9988276670574443,0.997275204359673,0.9999701394487743,0.0015585315169707181,0.9964843481252149,0.002870545218002173
