Variable,Bin_Range,Count_Short,Count_Long,Total_Count,Pct_Short,Pct_Long,Importance_Score,Direction,Bin_Mean
TO_OMC_Duration,9.0-135.0,307,0,307,100.0,0.0,50.0,Favors Short Calls,77.5928338762215
TO_OMC_Duration,608.8-3612.0,0,305,305,0.0,100.0,50.0,Favors Long Calls,1206.0983606557377
TO_OMC_Duration,293.0-608.8,0,302,302,0.0,100.0,50.0,Favors Long Calls,427.57615894039736
total_call_duration,552.5-3460.0,0,305,305,0.0,100.0,50.0,Favors Long Calls,1112.5803278688525
total_call_duration,9.0-128.0,304,2,306,99.34640522875817,0.6535947712418301,49.34640522875817,Favors Short Calls,74.57516339869281
TO_OMC_Duration,135.0-293.0,302,2,304,99.3421052631579,0.6578947368421052,49.3421052631579,Favors Short Calls,208.5625
extended_monologues_count,5.0-27.0,7,236,243,2.880658436213992,97.11934156378601,47.11934156378601,Favors Long Calls,9.489711934156379
long_monologues,4.0-50.0,8,236,244,3.278688524590164,96.72131147540983,46.721311475409834,Favors Long Calls,8.639344262295081
very_long_monologues,1.0-20.0,8,196,204,3.9215686274509802,96.07843137254902,46.07843137254902,Favors Long Calls,4.147058823529412
medium_monologues,7.0-150.0,15,280,295,5.084745762711865,94.91525423728814,44.91525423728814,Favors Long Calls,16.152542372881356
total_buying_signals,2.0-60.0,19,280,299,6.354515050167224,93.64548494983278,43.64548494983278,Favors Long Calls,6.7558528428093645
total_discovery_questions,8.0-39.0,25,261,286,8.741258741258742,91.25874125874127,41.25874125874127,Favors Long Calls,12.475524475524475
total_call_duration,128.0-272.5,274,29,303,90.42904290429043,9.570957095709572,40.42904290429043,Favors Short Calls,197.98349834983497
total_call_duration,272.5-552.5,31,273,304,10.197368421052632,89.80263157894737,39.80263157894737,Favors Long Calls,393.64144736842104
objections_rebutted,2.0-14.0,17,143,160,10.625,89.375,39.375,Favors Long Calls,4.31875
goal1_questions,6.0-34.0,23,181,204,11.27450980392157,88.72549019607843,38.725490196078425,Favors Long Calls,8.936274509803921
total_interruptions,2.0-51.0,29,201,230,12.608695652173912,87.39130434782608,37.39130434782608,Favors Long Calls,6.465217391304348
goal2_questions,3.0-11.0,24,156,180,13.333333333333334,86.66666666666667,36.66666666666667,Favors Long Calls,5.333333333333333
time_in_final_stage,121.5-2149.0,43,261,304,14.144736842105262,85.85526315789474,35.85526315789474,Favors Long Calls,277.1743421052632
total_discovery_questions,0.0-1.0,308,58,366,84.15300546448088,15.846994535519126,34.15300546448087,Favors Short Calls,0.24316939890710382
price_mentions_final_2min,1.0-15.0,41,206,247,16.599190283400812,83.40080971659918,33.400809716599184,Favors Long Calls,3.534412955465587
goal1_questions,0.0-1.0,365,81,446,81.83856502242153,18.161434977578477,31.838565022421523,Favors Short Calls,0.33183856502242154
short_monologues,18.0-300.0,56,237,293,19.112627986348123,80.88737201365188,30.887372013651884,Favors Long Calls,43.02389078498293
medium_monologues,0.0-1.0,269,64,333,80.78078078078079,19.21921921921922,30.78078078078078,Favors Short Calls,0.36936936936936937
short_monologues,0.0-2.0,261,66,327,79.81651376146789,20.18348623853211,29.81651376146789,Favors Short Calls,0.5779816513761468
price_timeline_contract_before_dropoff,2.0-22.0,63,240,303,20.792079207920793,79.20792079207921,29.207920792079207,Favors Long Calls,5.993399339933993
longest_monologue_length,15.0-302.0,57,213,270,21.11111111111111,78.88888888888889,28.888888888888886,Favors Long Calls,42.474074074074075
total_objections,3.0-14.0,46,171,217,21.19815668202765,78.80184331797236,28.801843317972356,Favors Long Calls,5.341013824884793
timeline_mentions_final_2min,1.0-11.0,47,160,207,22.705314009661837,77.29468599033817,27.294685990338166,Favors Long Calls,3.5217391304347827
total_resistance_signals,3.0-14.0,63,193,256,24.609375,75.390625,25.390625,Favors Long Calls,5.65625
longest_monologue_length,0.0-5.0,246,84,330,74.54545454545455,25.454545454545453,24.545454545454547,Favors Short Calls,2.56969696969697
long_monologues,0.0-1.0,465,160,625,74.4,25.6,24.4,Favors Short Calls,0.3568
extended_monologues_count,0.0-2.0,530,197,727,72.90233837689132,27.097661623108664,22.902338376891336,Favors Short Calls,0.7510316368638239
goal2_questions,1.0-3.0,93,250,343,27.113702623906704,72.8862973760933,22.886297376093296,Favors Long Calls,2.4169096209912535
time_in_final_stage,25.0-59.0,220,88,308,71.42857142857143,28.57142857142857,21.42857142857143,Favors Short Calls,40.51623376623377
goal2_questions,0.0-1.0,492,202,694,70.89337175792507,29.106628242074926,20.893371757925074,Favors Short Calls,0.23631123919308358
extended_monologues_count,2.0-5.0,72,175,247,29.1497975708502,70.8502024291498,20.850202429149803,Favors Long Calls,3.817813765182186
total_discovery_questions,5.0-8.0,73,173,246,29.67479674796748,70.32520325203252,20.325203252032523,Favors Long Calls,6.857723577235772
goal1_questions,3.0-6.0,103,228,331,31.1178247734139,68.8821752265861,18.8821752265861,Favors Long Calls,4.990936555891238
longest_monologue_length,9.0-15.0,94,206,300,31.333333333333336,68.66666666666667,18.66666666666667,Favors Long Calls,11.633333333333333
longest_monologue_length,5.0-9.0,212,104,316,67.08860759493672,32.91139240506329,17.08860759493671,Favors Short Calls,7.199367088607595
short_monologues,8.0-18.0,102,203,305,33.442622950819676,66.55737704918033,16.55737704918033,Favors Long Calls,12.40327868852459
medium_monologues,1.0-4.0,234,118,352,66.47727272727273,33.52272727272727,16.477272727272727,Favors Short Calls,3.0568181818181817
time_in_final_stage,0.0-25.0,202,103,305,66.22950819672131,33.77049180327869,16.229508196721312,Favors Short Calls,11.773770491803278
short_monologues,2.0-8.0,190,102,292,65.06849315068493,34.93150684931507,15.06849315068493,Favors Short Calls,5.215753424657534
total_buying_signals,0.0-2.0,590,328,918,64.27015250544662,35.72984749455338,14.270152505446617,Favors Short Calls,0.46405228758169936
total_discovery_questions,1.0-5.0,203,116,319,63.63636363636363,36.36363636363637,13.636363636363633,Favors Short Calls,3.5987460815047023
medium_monologues,4.0-7.0,91,146,237,38.39662447257383,61.60337552742617,11.603375527426167,Favors Long Calls,5.810126582278481
long_monologues,1.0-4.0,136,212,348,39.08045977011494,60.91954022988506,10.919540229885058,Favors Long Calls,2.7385057471264367
total_resistance_signals,0.0-2.0,465,306,771,60.311284046692606,39.688715953307394,10.311284046692606,Favors Short Calls,0.7587548638132295
price_timeline_contract_before_dropoff,0.0-2.0,546,368,914,59.73741794310722,40.26258205689278,9.737417943107218,Favors Short Calls,0.3150984682713348
very_long_monologues,0.0-1.0,601,412,1013,59.32872655478776,40.67127344521224,9.328726554787757,Favors Short Calls,0.18163869693978282
total_objections,0.0-2.0,491,337,828,59.29951690821256,40.70048309178744,9.29951690821256,Favors Short Calls,0.8019323671497585
