Variable,Mean,Median,Std,Min,Q25,Q75,Max,Missing,Missing_Pct
TO_OMC_Duration,817.0344827586207,609.0,568.6365448953862,293.0,421.0,994.0,3612.0,0,0.0
total_call_duration,750.528735632184,553.0,526.0078073563918,60.0,392.0,926.0,3460.0,0,0.0
total_discovery_questions,8.200657894736842,8.0,5.2830149236425745,0.0,5.0,11.0,39.0,1,0.16420361247947454
total_buying_signals,3.692434210526316,2.0,5.325560074864039,0.0,1.0,5.0,60.0,1,0.16420361247947454
total_objections,2.5970394736842106,2.0,2.25706822093578,0.0,1.0,4.0,14.0,1,0.16420361247947454
time_in_final_stage,158.90280065897858,104.0,205.9402379958971,0.0,45.5,190.5,2149.0,2,0.3284072249589491
