,LQ_Company_Name,LQ_Company_Address,LQ_Service,LQ_Customer_Name,Calls Count,Connection Made Calls,TO_Event_O,timezone,season_status,TO_User_M,lgs_sentiment_style,lgs_agent_gender,TO_length_in_sec,is_decision_maker,ready_for_customers,forbidden_industry,ready_to_transfer,customer_sentiment_lgs,customer_sentiment_omc,customer_language,customer_knows_marketing,customer_availability,who_said_hello_first_lgs,customer_marketing_experience,technical_quality_score,technical_quality_issues,TO_OMC_User,TO_OMC_Disposiion,omc_agent_sentiment_style,omc_who_said_hello_first,customer_talk_percentage,total_discovery_questions,total_buying_signals,time_to_reason_seconds,location_mentioned,business_type_mentioned,within_45_seconds,call_structure_framed,total_objections,objections_acknowledged,price_mentions_final_2min,timeline_mentions_final_2min,contract_mentions_final_2min,objections_rebutted,total_interruptions,commitment_type,call_result_tag
LQ_Company_Name,1.0,0.09680790928552312,-0.11107406194583733,0.09835407657935466,-0.026392795353454297,0.08865475743268653,0.16323589643557143,0.07968764356837531,-0.10356297883758518,-0.04836123923541246,-0.03684942043960396,0.05067144095250483,-0.219733868388566,-0.21525599482107383,-0.11902220321550469,,-0.007004241766124022,0.11326765230384263,-0.014796120560976034,-0.21090949775297163,-0.053790158788360534,-0.02387344094785175,-0.1170021096977328,0.029777683550129164,0.1773482111295034,-0.029891280751347737,0.044266534512417806,-0.28328174657927874,0.1851294188400517,0.014469568078628816,-0.05334892741543427,-0.11331787538558916,-0.1596372045022173,-0.18399493555263918,0.11752491910955884,-0.056740793344520354,-0.056165063680772974,-0.08410197668465531,-0.027621493512245215,0.14556516521834717,0.024806003262156418,-0.15968606302985766,0.11902273099468957,0.020553059042275158,-0.13649432159289504,-0.0885845012770206,-0.14364848346326825
LQ_Company_Address,0.09680790928552312,1.0,-0.048941818385988774,0.1520651580329707,-0.1143628065683281,-0.011646719766674923,0.1619083343909292,0.02974264094904843,0.023465814346509864,0.015659839339216317,0.3019785475093513,-0.04777780972838537,-0.13914130973831262,0.15729652436323746,-0.09571561893854362,,0.06504538226514657,0.15562299767653306,0.26651387778143476,0.3081645353314744,-0.02514295297096655,0.19924792493261984,0.021959707553707204,-0.14408691398891477,0.11249669451385218,-0.09846564197825107,0.10270663775577633,0.02898098511799536,0.1556481211147448,0.1368772104446611,0.176841213649934,0.061249291615194816,-0.03527523227210363,-0.10018812918637982,0.09186990210619142,-0.29226687751771646,-0.05126403130121828,0.017851049788627497,0.05687397753470814,0.05447699185724982,-0.005857816926357191,0.0030806421279294203,-0.03251692336555395,-0.013591054554734127,-0.2016928591872689,-0.04587854117141817,0.10060788940298972
LQ_Service,-0.11107406194583733,-0.048941818385988774,1.0,-0.06851447746532678,0.01650746432643229,0.07555915046542824,0.135873495659965,0.14703706174480863,0.2663958012359129,-0.2129595800589757,-0.3009279504687755,0.004621234861895793,0.056729900900785175,0.003943950124250163,0.18141954215880957,,-0.09888076566059578,0.0974474235837142,-0.06528364714738678,-0.05398357093458201,0.03615052934315657,0.15707642011353606,-0.08878096101457907,0.006581226592830762,0.07420018444795151,-0.14956222385767262,0.04883930418487187,-0.3101271151792357,0.018417153323757256,-0.09718562388240046,0.06392479736701034,0.06498462917961965,0.0663054789985188,0.15605705653494914,-0.0204197896679927,-0.018895713573469926,-0.18865226401870058,0.10397778439265536,0.013833600445549831,0.0167800987580204,0.012679786911865153,0.05162723328705812,-0.1303891398007464,-0.0907877505010057,0.14917359481297643,-0.09546111639973184,-0.08257998572365503
LQ_Customer_Name,0.09835407657935466,0.1520651580329707,-0.06851447746532678,1.0,0.068288951438925,0.0015230872220463433,-0.0069485946543309095,0.18284549883458678,-0.026957775559014602,-0.23139531516355547,0.05775827583410693,0.07636283317788606,0.013940624047763,-0.030911573257874008,-0.11005596222616533,,0.18422550975010019,-0.010100210883033561,0.15921395359007878,0.11320237268765132,0.1794977324670052,0.10319747310029657,0.10690954172383209,-0.004348201722037256,0.12430726491958036,-0.1935723702443189,0.07939614021241663,-0.10081141277571504,0.2785298918893921,0.28679598413327684,0.16363892340243327,-0.3136047018556557,-0.35276209598210384,-0.03371260686241424,0.031653753807712535,-0.11449693423763886,0.08901383151507626,-0.08613139368069679,-0.06960572795665018,-0.3644570025013351,-0.043310790788639135,-0.045138918921622945,0.19574992169679456,-0.3062778158654878,-0.1760639622037871,0.0718626624650295,0.01316251017255301
Calls Count,-0.026392795353454297,-0.1143628065683281,0.01650746432643229,0.068288951438925,1.0,0.4365968659142854,0.011118014283532148,-0.022795516751348464,0.15085758712938027,-0.2766389035097679,-0.1894283765890069,0.007260608340442694,-0.032066725117634705,-0.12527041994106822,0.020898989615584864,,-0.05933415272201182,0.0337291085958566,-0.11921414575103567,-0.11446315689821444,0.1096174985232654,0.0375475981529266,-0.018823694701779692,0.01523737428806108,-0.019668943075285293,-0.13803359544570112,-0.2347629738967614,-0.08975158002364296,0.21109954551140667,0.16501780844732578,0.1641356877202834,-0.004597929859176833,0.12529089016022504,-0.1401061359663928,-0.013884822285375695,0.04660729634928211,-0.08222927938090117,0.21543772288854554,-0.2441143004564158,-0.07539474530106445,-0.009406581122783433,0.14856875632952996,0.08238961207253229,-0.1600768944848367,0.1464167503025335,-0.20773102693558773,0.16331456196585328
Connection Made Calls,0.08865475743268653,-0.011646719766674923,0.07555915046542824,0.0015230872220463433,0.4365968659142854,1.0,0.06336154927193363,-0.08284108126124838,0.11014168531058188,-0.16224805521268715,-0.1318414591072991,-0.18816882111022995,-0.14626807146271048,-0.2267871292544373,-0.009554711744238832,,-0.29987560900260973,0.07662681097592317,-0.06029359107435307,-0.10042632195254436,-0.026617400901148437,0.07241851416348494,0.061104769310156626,-0.090018466763772,-0.0010671777352156268,0.04972579052874142,-0.08194034505193173,-0.10623282279493894,0.1305660661051694,0.1646684941215102,0.01647010771305238,0.18353617691451934,0.27816676837902815,0.060945929758366955,0.003925343359894298,-0.05982721606999287,-0.14877973622599164,0.21804970686593167,-0.15441962401472484,-0.045509553795260886,-0.10765232262915148,0.06875170795341029,-0.0763832001693997,-0.21026253143777243,0.06670110392469278,-0.2718096903548494,0.21149715102525313
TO_Event_O,0.16323589643557143,0.1619083343909292,0.135873495659965,-0.0069485946543309095,0.011118014283532148,0.06336154927193363,1.0,0.08052960464705503,-0.15436610466540973,0.06478784697010322,-0.13015496041397592,-0.11844532009103051,-0.014644787598352286,-0.03827352718989301,-0.2672023906172667,,-0.21977722565637953,-0.06981094559885122,0.32346518678317143,-0.137540452372379,-0.1827328516281994,-0.10810321853079666,-0.06167481964360641,-0.21894833028324515,0.0006718743254063098,-0.12634395343534305,0.06812423735647623,-0.19778325052699486,0.23570363260382884,-0.0031321580968160646,-0.18870031690498462,-0.11273950575490693,-0.10288232990782119,-0.19472170087376367,-0.2061940267325496,-0.22114182738702662,-0.1576588870372558,-0.1155051880320333,0.1556257218673471,0.2782189466882982,0.014821845999259621,0.038790403796372414,-0.24644837082246812,0.030065507605781607,-0.0915656870213576,-0.17500987594618667,0.13877831978238558
timezone,0.07968764356837531,0.02974264094904843,0.14703706174480863,0.18284549883458678,-0.022795516751348464,-0.08284108126124838,0.08052960464705503,1.0,0.12066978444726119,-0.1987495622845501,0.06717876707049719,0.19249245421589195,-0.11171057833848709,-0.31432229738263184,-0.02948486178931953,,-0.1892688768152199,0.2504067648886173,0.12230044568154717,-0.007439623683593143,-0.0017586575171010005,0.21133201163830356,-0.08543882061284669,-0.0374671727173241,0.0017943851815068143,-0.20470091287062553,-0.008419146727355975,-0.2849734687248194,0.08374228954480879,-0.0007887097310728621,0.01590998874995075,-0.03389181768716921,-0.35425203029666597,-0.19997318121947885,-0.08396592091551344,0.09853341384213089,-0.04856421015678857,-0.012339259885634099,0.183006970959931,0.004337701617291552,-0.07327558440374811,-0.09523640367330319,-0.007230304566178973,-0.036434594747061747,0.09804712156402146,0.11714473100991946,-0.10001687230708983
season_status,-0.10356297883758518,0.023465814346509864,0.2663958012359129,-0.026957775559014602,0.15085758712938027,0.11014168531058188,-0.15436610466540973,0.12066978444726119,1.0,-0.15568952299845643,-0.019852025199379807,0.12991333223365165,0.07038883420329568,-0.21235897507976176,0.09438023814709148,,-0.053787369631197575,0.0679095001074515,-0.08755733216813717,-0.09266785330582893,0.08744624155718768,0.10019144275580613,-0.18877191629563136,0.06808875921244306,0.10469262028900408,-0.04978095621008576,0.16701047661862947,-0.16667486605895324,-0.15330608390304235,-0.08380635155933677,0.07676156392045577,0.017361073941798342,0.027108447959490828,0.446294334808418,0.03984298629434435,0.11435372126244726,-0.025169046576891806,0.043470044246441755,0.12222397741498049,0.03977180940353681,0.08020333282251992,-0.11174783161389683,0.0008701505040880204,0.168470310990424,0.3395191791425282,-0.1287714052032833,-0.12556513235597846
TO_User_M,-0.04836123923541246,0.015659839339216317,-0.2129595800589757,-0.23139531516355547,-0.2766389035097679,-0.16224805521268715,0.06478784697010322,-0.1987495622845501,-0.15568952299845643,1.0,0.19274449513744035,0.09177582829941261,-0.0862503598094235,0.17623372756504319,-0.027807059060066197,,0.1880561075298605,-0.04179509711264578,0.1290527561119724,-0.05946788981401072,0.05332386187963962,-0.024882798330113788,-0.0923144033514006,0.24992902632162683,-0.2258968427330823,0.0848732596862961,-0.20421732219805097,0.2505518047922575,-0.16449617704877098,-0.29043277876095597,-0.15568047183655914,0.00214252880125719,0.03882934611153605,0.17307697073086137,0.033840666214608864,0.1350838537182178,0.14089614416718227,-0.12447756022219184,0.16696331596927697,0.21128963763238942,0.052814388093549866,0.05490148476305614,0.06245081456212109,0.38154084929086923,-0.07783301934357965,0.0705422213735175,-0.04123659762181487
