,LQ_Company_Name,LQ_Company_Address,LQ_Service,LQ_Customer_Name,Calls Count,Connection Made Calls,TO_Event_O,timezone,season_status,TO_User_M,lgs_sentiment_style,lgs_agent_gender,TO_length_in_sec,is_decision_maker,ready_for_customers,forbidden_industry,ready_to_transfer,customer_sentiment_lgs,customer_sentiment_omc,customer_language,customer_knows_marketing,customer_availability,who_said_hello_first_lgs,customer_marketing_experience,technical_quality_score,technical_quality_issues,TO_OMC_User,TO_OMC_Disposiion,omc_agent_sentiment_style,omc_who_said_hello_first,customer_talk_percentage,total_discovery_questions,total_buying_signals,time_to_reason_seconds,location_mentioned,business_type_mentioned,within_45_seconds,call_structure_framed,total_objections,objections_acknowledged,price_mentions_final_2min,timeline_mentions_final_2min,contract_mentions_final_2min,objections_rebutted,total_interruptions,commitment_type,call_result_tag
LQ_Company_Name,1.0,0.7087412396290146,0.5537623470606085,0.6078128277366122,-0.0018677437062588548,-0.05722949491508117,0.6598047368471975,0.035280108579828065,0.006327340513172481,0.1869599579093399,0.11770683819485502,0.046455626376637284,0.11851129215052585,0.02941382749079142,0.05783338095188669,0.014573303188506158,0.038098869028383935,0.09637314753171987,0.2765919321450034,0.02407248899850753,0.022822037481199646,0.028559365164850928,0.04923690452631872,0.06498910194443219,-0.014197326313419243,0.15831475970465014,0.10120078708544697,0.30239785353464627,0.21650526981496807,0.11694754254793213,0.15497263165981134,0.4605451261155231,0.4859534956323501,0.05022876630189253,0.08495734196423928,0.06774745471115638,-0.03375075371418374,0.10073775670090022,0.2530660881951978,0.24820376704607428,0.2737430294633469,0.22513191590651968,0.12343489224099174,0.31015461648695364,0.33743428346622956,0.21826608077984289,0.40020613049869763
LQ_Company_Address,0.7087412396290146,1.0,0.5914215233718437,0.6938519637379656,-0.0385472573576545,-0.07718382122696825,0.7115392210416606,0.05537488399057937,0.0011786134113366622,0.20183755568691888,0.13560522140057393,0.056028358475686386,0.15958293752977912,0.053594564958245966,0.08893332446686103,0.020890601678629654,0.09529236395013388,0.1415220826745331,0.27893891997817594,0.0812790799288211,0.032660300115526446,0.05395404051879017,0.09595711180098494,0.06571530125912758,-0.05391703564532732,0.14389154065760412,0.07081161811683247,0.30079001862131177,0.25837581790363207,0.13709533292921328,0.18504543257426012,0.4843777739062134,0.5191606717303153,0.07233850939573093,0.1264956264894173,0.10386585476408482,0.010381661667404526,0.12154234510516235,0.2892430883643046,0.23536220038244568,0.30393567239589386,0.23654868222132433,0.10572967046781506,0.32501766164203866,0.34254113787680757,0.23778045833552344,0.44139956527308516
LQ_Service,0.5537623470606085,0.5914215233718437,1.0,0.5686504394364104,-0.029707380584981957,-0.06478673577783242,0.5551060822422315,0.048297983423647196,0.06524498117652823,0.2146744041176863,0.04463555916999613,0.06260865677893844,0.13302732527118008,0.041393039633651686,0.07266749166557405,0.008996521679248387,0.05654867990670617,0.0927164407110741,0.2168001246326747,0.006508803834864865,0.0030990532525998725,0.05242854772124431,0.0722915329903811,0.01795462527163248,-0.00034653181297204815,0.10818578606316201,0.10089730906763104,0.2213953933947577,0.17005660519023255,0.0960834892016815,0.1308898865129923,0.37806089637811785,0.3773309316224491,-0.002793385960788687,0.10445124687590775,0.05574865238016787,0.006555274050157094,0.07646979233906857,0.17975413370529486,0.15281388237134985,0.23960548983652477,0.17013245689288997,0.09163321110160422,0.22010533321738585,0.23690483485246688,0.18341321179101153,0.3379353025838633
LQ_Customer_Name,0.6078128277366122,0.6938519637379656,0.5686504394364104,1.0,-0.046047353956571384,-0.057048356029738734,0.6523257371870159,0.046794459145563246,0.03691866493403796,0.17422374544936117,0.10465814482687279,0.03916191049792701,0.14165729740902627,0.06869652276952083,0.10749941177815589,0.025708550623196554,0.08523938355286945,0.12940501294692,0.2798717148005086,0.03286759078285182,0.0360228237619892,0.0647582194649251,0.05295768851759586,0.06866483667780207,-0.017154133287874646,0.11538185844005484,0.11503575873703417,0.2524667190066129,0.23827294600246995,0.12075308294601847,0.18455025917191675,0.4559388863338103,0.49638235719974044,0.07211364406562445,0.11811575855159263,0.09632737681188157,0.03890965331995559,0.10733635371588353,0.2409610839128981,0.23806369593558682,0.29012105927642257,0.22591444594937513,0.08861045630784418,0.28983043471962466,0.3020149178698448,0.24548219400997348,0.43147295700281146
Calls Count,-0.0018677437062588548,-0.0385472573576545,-0.029707380584981957,-0.046047353956571384,1.0,0.5513665411417663,-0.01976676091174255,0.030632856441121736,-0.027320686966986217,0.007389125408446628,0.01807352468488283,-0.06208422713969107,-0.07482045231832797,-0.01895548254271946,0.016760821310905033,-0.01640617597677409,-0.024629199491490426,0.015813566543902945,-0.04124560345143013,0.04809369275594519,-0.03348486463752281,-0.0125847030554791,0.027353739324579178,-0.008223262670243031,-0.01665561723028641,0.05782489596003426,-0.012607370380682485,0.009815362118569792,0.014502026711445005,-0.004158856454757148,-0.026951760788605054,-0.06969245162638528,-0.05597831149089737,-0.045622426235582714,-0.09560722139444532,0.010806349225851828,-0.05787865853073,-0.05066613973027659,-0.03275050533722918,-0.03220173897523127,-0.004446493270356385,0.0005091333362085023,-0.008919566400632446,-0.02764071872795046,-0.030898186725882803,-0.0026888538001125194,-0.04080215466214452
Connection Made Calls,-0.05722949491508117,-0.07718382122696825,-0.06478673577783242,-0.057048356029738734,0.5513665411417663,1.0,-0.055124963023402834,0.03720131493320701,-0.003071047778819569,-0.1476813264484225,0.02001195167422889,0.04375423857357268,-0.09987266938228304,-0.05267229289475492,-0.005768051977864454,-0.0349149021930275,-0.0347068675711271,-0.027585308180773805,-0.029185373341587575,0.03557838284081039,-0.04251919620762815,-0.037314772704793005,-0.009550804985423952,-0.0799590501139795,0.045320508151953175,0.018630014417397294,0.023934978664664725,0.007940206705212975,-0.04303044829741851,0.003739105956023749,-0.004072863370278831,-0.07634241740764179,-0.061165635320088736,-0.013832087437483204,-0.06450475134243137,-0.015543610198968851,-0.03960120442960055,-0.0366864788725171,-0.004045435577365976,-0.010081883420973648,-0.05274291328367389,-0.022497370255448654,-0.012303928880689782,-0.006313998668617618,-0.02219800935683843,-0.029074734424924302,-0.057167895538912744
TO_Event_O,0.6598047368471975,0.7115392210416606,0.5551060822422315,0.6523257371870159,-0.01976676091174255,-0.055124963023402834,1.0,0.0601269405144826,0.021818324345510773,0.18189874220735697,0.1433929914025192,0.02228028738654916,0.16048340651320048,0.12182359314690404,0.07717709965585944,0.069266754410311,0.12156724786965127,0.12686703146474002,0.2657390630352459,0.11043430596525929,0.0568103682162731,0.07109264337880143,0.10020800902853647,0.04219671042133429,0.008182329971061844,0.14996241373282862,0.11023598839666925,0.3114198132009414,0.24892443044401344,0.1204498982442565,0.19101137335692656,0.538114143322861,0.5294183699373654,0.09440676030672959,0.15379760580504145,0.11359802730698665,0.016001303974043375,0.15116464545300826,0.30872199407837037,0.2738099175279058,0.33573440529084453,0.2894279840075046,0.1253304075494857,0.3719082405776469,0.3980935917531392,0.2575443610181461,0.4718082086839413
timezone,0.035280108579828065,0.05537488399057937,0.048297983423647196,0.046794459145563246,0.030632856441121736,0.03720131493320701,0.0601269405144826,1.0,0.012592845371542044,0.08584057841852302,0.05522485790685543,0.10750845009379306,0.01071559421159004,0.07702206633670153,0.06741592460234927,0.03561548295078527,0.03255572168348995,0.08154102873181007,0.033822034608436226,0.03618110403741274,0.05661001467465879,0.09930231119560302,0.07730958805150234,0.030005819210661294,0.042795846240147796,0.0329290377031526,0.055685285775214755,0.05946668970632105,0.053110748639336104,0.01234785239328908,0.06234803368693508,0.07169287309759358,0.08060570056324323,0.0181154915579077,0.025945958990914755,0.007044892106146365,0.012432106936321597,0.00917440210586789,0.04725248243492966,0.04989743280363099,0.06842494650682955,0.016513520674273658,-0.0006690244683518653,0.058889636040000595,0.059634588051271246,0.03689427676131035,0.12097561914299122
season_status,0.006327340513172481,0.0011786134113366622,0.06524498117652823,0.03691866493403796,-0.027320686966986217,-0.003071047778819569,0.021818324345510773,0.012592845371542044,1.0,0.054497166012817594,-0.07051829467078399,0.022565072995485318,-0.03995684990597674,-0.08067551017531972,-0.07394268272865102,-0.09193020790579443,-0.03600292815756207,-0.033515865256532246,0.00048310995399711276,-0.12820180937900552,-0.06525591103759881,-0.1229853834020761,-0.07734023945365644,-0.005060992314682792,-0.03748566668261847,0.03666335407266302,0.008782296940139274,-0.014260660779338106,-0.013728535356780355,-0.07120058439560888,-0.05823871691529029,-0.008995027832955057,-0.011452412225516195,-0.013430717596499294,-0.015338752166169279,-0.020979660418603236,0.01701856766245152,-0.0022276739066078547,-0.03606061464568675,-0.0015535367298309792,-0.003612165111467943,-0.02266665990763609,-0.010075978801728579,-0.048008210174333245,-0.0064337594364713285,-0.016436328507900475,-0.0014866557632320847
TO_User_M,0.1869599579093399,0.20183755568691888,0.2146744041176863,0.17422374544936117,0.007389125408446628,-0.1476813264484225,0.18189874220735697,0.08584057841852302,0.054497166012817594,1.0,0.15968953316881626,0.22129930752119978,0.32235260310540936,0.13232078612237388,0.15243543568225468,0.04400718092135685,0.24545422091984131,0.14206373737800634,0.13469324084870157,0.06888339042856009,0.09372053228982996,0.10148701800165903,0.18391461854006444,0.07654630786905653,0.01065964310731995,0.0411495501440618,0.040319054244593915,0.1116667172468874,0.10238405995468128,0.07046365603015421,0.08664608646974649,0.22978212543168292,0.19859915818802076,0.011017656196685294,0.05332505775458269,0.03272481841414063,0.01379908608079839,0.09102715526353812,0.05648878149821631,0.11515714413499499,0.15142092542789912,0.13249877861829978,0.018730790732616763,0.0879964944371284,0.15636824428237328,0.08530994594142036,0.1708837714087985
