Variable,LIME_RF,LIME_XGB,LIME_Avg
total_discovery_questions,0.1401411714139184,0.32382466257036857,0.2319829169921435
total_buying_signals,0.16219045238603952,0.1849963527345336,0.17359340256028655
price_mentions_final_2min,0.06671077437283614,0.08472066009544763,0.07571571723414189
TO_Event_O,0.031136434852821814,0.07986402400246362,0.05550022942764272
total_interruptions,0.0495127473741745,0.058029860911169025,0.05377130414267176
LQ_Company_Address,0.028078048264388013,0.06948836081132428,0.048783204537856145
LQ_Customer_Name,0.027188206867985707,0.06761013258536917,0.04739916972667744
TO_OMC_Disposiion,0.02044203053596292,0.06815130168667315,0.04429666611131804
LQ_Service,0.025009857847259034,0.06050111640367485,0.042755487125466944
objections_rebutted,0.042322768918188126,0.03741555781144107,0.039869163364814594
LQ_Company_Name,0.02335752296273077,0.05613456173524727,0.03974604234898902
call_result_tag,0.017333892963746555,0.05595894018337504,0.0366464165735608
TO_length_in_sec,0.020023507434352907,0.04511300843828131,0.03256825793631711
contract_mentions_final_2min,0.01847688849779953,0.03932432536260686,0.028900606930203195
timeline_mentions_final_2min,0.036798687140201396,0.020802853395814357,0.028800770268007876
within_45_seconds,0.009541760808141833,0.04776533475676493,0.02865354778245338
TO_User_M,0.014261244819614584,0.03758425614753331,0.025922750483573946
TO_OMC_User,0.011235945904177602,0.04001416603282485,0.025625055968501224
omc_agent_sentiment_style,0.0273600084586997,0.02380799814191998,0.02558400330030984
commitment_type,0.025111386772353216,0.025361726571149844,0.02523655667175153
call_structure_framed,0.006182592836471271,0.04378840984348811,0.02498550133997969
customer_sentiment_omc,0.016587245684647978,0.02953896871862998,0.02306310720163898
total_objections,0.016691474684604666,0.02786983417832363,0.022280654431464146
forbidden_industry,0.01318705882071202,0.03106221872686221,0.022124638773787113
technical_quality_issues,0.012600492458577507,0.028886496775988042,0.020743494617282775
location_mentioned,0.00675204464063102,0.033841521672232366,0.020296783156431693
customer_marketing_experience,0.009676189875998104,0.03016637852666878,0.01992128420133344
ready_to_transfer,0.007766125564107638,0.030780047498245134,0.019273086531176386
objections_acknowledged,0.018875987856239826,0.01926076532215819,0.019068376589199007
time_to_reason_seconds,0.008551913381792786,0.029172219558129125,0.018862066469960956
timezone,0.00835907680372296,0.028993404552295217,0.01867624067800909
omc_who_said_hello_first,0.009478551017144985,0.02530752724279108,0.017393039129968032
customer_sentiment_lgs,0.010092324156441382,0.02331965879966743,0.016705991478054405
customer_talk_percentage,0.013477016283664678,0.019731656906506634,0.016604336595085655
customer_language,0.009545397386094388,0.021647209693707595,0.01559630353990099
lgs_sentiment_style,0.008636703392116203,0.022301038865501634,0.015468871128808919
Connection Made Calls,0.008792476840327836,0.022076646622755953,0.015434561731541894
is_decision_maker,0.008851092521567029,0.021299920458087596,0.015075506489827313
customer_availability,0.008253136072727369,0.020606663362242407,0.014429899717484887
ready_for_customers,0.007989207586067713,0.020772084237786467,0.01438064591192709
customer_knows_marketing,0.008465507848114872,0.01994337618332417,0.01420444201571952
season_status,0.00786077905676565,0.020328759579983348,0.014094769318374499
who_said_hello_first_lgs,0.00867002350243894,0.017728198896540214,0.013199111199489577
Calls Count,0.00708906071137117,0.018128366511179876,0.012608713611275524
lgs_agent_gender,0.007074056216753732,0.016914317197812872,0.011994186707283302
technical_quality_score,0.006593140629853977,0.0172462471424581,0.01191969388615604
business_type_mentioned,0.007132515783869612,0.016090990379306398,0.011611753081588006
