Variable,SHAP_RF,SHAP_XGB,SHAP_Avg
total_buying_signals,0.06418072840292653,0.6021272,0.3331539614037643
total_discovery_questions,0.06798066785787951,0.5913459,0.32966328705775444
objections_rebutted,0.03585655517185857,0.2672397,0.15154812249941196
total_objections,0.02959927598809637,0.0,0.014799637994048185
objections_acknowledged,0.020480502711889982,0.0,0.010240251355944991
price_mentions_final_2min,0.020042214375005574,0.0,0.010021107187502787
total_interruptions,0.013463109704831671,0.0,0.006731554852415836
customer_talk_percentage,0.011154906722316811,0.0,0.005577453361158406
commitment_type,0.008249574762832538,0.0,0.004124787381416269
customer_sentiment_omc,0.007842496381603685,0.0,0.003921248190801843
timeline_mentions_final_2min,0.006991182917224483,0.0,0.0034955914586122416
ready_to_transfer,0.005243444373830609,0.0,0.0026217221869153044
call_result_tag,0.005154427016266537,0.0,0.0025772135081332686
TO_length_in_sec,0.0045092790547642215,0.0,0.0022546395273821108
lgs_agent_gender,0.003845279667039228,0.0,0.001922639833519614
technical_quality_score,0.0034879551307301377,0.0,0.0017439775653650689
ready_for_customers,0.0034562662653102815,0.0,0.0017281331326551407
TO_OMC_User,0.0033808996217154197,0.0,0.0016904498108577099
LQ_Company_Address,0.0030948778675325686,0.0,0.0015474389337662843
LQ_Customer_Name,0.0030838334517881497,0.0,0.0015419167258940748
customer_marketing_experience,0.003012451483276517,0.0,0.0015062257416382585
location_mentioned,0.002880065552270763,0.0,0.0014400327761353816
LQ_Service,0.002735041077105673,0.0,0.0013675205385528365
omc_agent_sentiment_style,0.0025945579231120715,0.0,0.0012972789615560358
TO_Event_O,0.002374794372472092,0.0,0.001187397186236046
TO_OMC_Disposiion,0.002133991161094496,0.0,0.001066995580547248
TO_User_M,0.0019285819821855004,0.0,0.0009642909910927502
time_to_reason_seconds,0.0018908348725313422,0.0,0.0009454174362656711
customer_sentiment_lgs,0.0018711393462411867,0.0,0.0009355696731205934
timezone,0.0015987378459676445,0.0,0.0007993689229838222
call_structure_framed,0.0013840788454246031,0.0,0.0006920394227123016
LQ_Company_Name,0.0013138868762741095,0.0,0.0006569434381370547
technical_quality_issues,0.0011396541933266621,0.0,0.0005698270966633311
season_status,0.0010106160342749709,0.0,0.0005053080171374854
who_said_hello_first_lgs,0.0009910748010649821,0.0,0.0004955374005324911
Calls Count,0.00097012722711045,0.0,0.000485063613555225
lgs_sentiment_style,0.0004506627140166664,0.0,0.0002253313570083332
business_type_mentioned,0.0003492489850157647,0.0,0.00017462449250788234
within_45_seconds,0.0003345717467283287,0.0,0.00016728587336416436
customer_language,0.00032748175257817926,0.0,0.00016374087628908963
customer_availability,0.0003253999641740191,0.0,0.00016269998208700954
customer_knows_marketing,0.00018409632177925924,0.0,9.204816088962962e-05
Connection Made Calls,0.0,0.0,0.0
is_decision_maker,0.0,0.0,0.0
forbidden_industry,0.0,0.0,0.0
omc_who_said_hello_first,0.0,0.0,0.0
contract_mentions_final_2min,0.0,0.0,0.0
