,TO_Lead_ID,TO_Phone,TO_length_in_sec,Calls Count,Connection Made Calls,Dial Attempt Calls,lead_id,technical_quality_score,customer_talk_percentage,agent_talk_percentage,total_discovery_questions,goal1_questions,goal2_questions,goal3_questions,total_buying_signals,total_resistance_signals,time_to_reason_seconds,total_objections,objections_acknowledged,objections_rebutted,acknowledgement_rate,price_mentions_final_2min,timeline_mentions_final_2min,contract_mentions_final_2min,price_timeline_contract_before_dropoff,average_monologue_length,longest_monologue_length,extended_monologues_count,short_monologues,medium_monologues,long_monologues,very_long_monologues,total_interruptions,interruption_rate,name_usage_count,rapport_elements_count,empathy_responses,empathy_response_rate,total_call_duration,time_in_final_stage,LQ_User_encoded,LQ_Customer_Name_encoded,LQ_Company_Name_encoded,LQ_Company_Address_encoded,LQ_Service_encoded
TO_Lead_ID,1.0,-0.07819548872180451,0.1293233082706767,0.2546130699607557,-0.10356884989778373,0.3077187492404147,1.0,0.1043441571377608,-0.23991085069390128,0.5531287684413388,-0.25629043855617245,-0.2568294821230591,-0.16888947622336692,0.26013299085723596,0.18257352139132968,-0.007886077287953323,0.18213900713927195,-0.06984034148488917,-0.12483326794143798,-0.29788065047696255,-0.11736791530286529,-0.42718135564130577,-0.13132940325459064,,-0.31167654665829786,0.10165674179035354,0.07329098482094357,0.1339345481167001,0.11023122595717574,0.019266256385059504,0.18491717956095094,0.15239234961229628,0.16252821977348156,0.1499734234279741,0.18072709303119103,0.4409901432237477,-0.014513557105932978,-0.021791543979232237,0.13383458646616542,0.16691729323308271,-0.29327763482393526,0.3689763220538758,0.4555061822710996,-0.0015060258043015338,0.09330326192837646
TO_Phone,-0.07819548872180451,1.0,0.07518796992481203,0.028290341106750636,-0.1510379061009346,0.17117473832344612,-0.07819548872180451,-0.03893438699170179,0.20369789209859543,-0.3217792699243211,-0.3399460713193148,-0.33009915420020813,-0.29834283109508475,-0.5202659817144719,-0.47264360210652634,-0.48262793002274335,0.2789278515127981,-0.4928060050843865,-0.33883315584104595,-0.4043854640553179,-0.29739836165726036,-0.1659657293876695,0.08947717584378702,,-0.07816649900319216,-0.04442776122689525,-0.2740777453199869,-0.24554667154728355,-0.49377549161639,-0.4754912075832685,-0.19497543618978927,-0.2733386588284044,-0.3121402896311897,-0.2781765111970487,-0.27528472820362854,-0.4409901432237477,-0.22737906132628333,-0.21670479846014282,-0.3022556390977444,-0.058646616541353384,0.1894084724904582,0.007530129021507669,-0.272339675114467,-0.1521086062344549,-0.20015054574958174
TO_length_in_sec,0.1293233082706767,0.07518796992481203,1.0,-0.1547648072310476,0.13269758893153538,-0.2839719647331158,0.1293233082706767,-0.07241795980456532,0.2844226123006314,-0.06857590998387171,0.017491632305020672,0.013111415003279295,-0.11573644309723115,0.0,-0.22693718079483036,0.15456711484388513,0.3466800425742664,0.22286131440121937,-0.23975913366530152,-0.09485584959322271,-0.25860727100631337,-0.21503385807619785,-0.12988622299904568,,-0.07222980287636743,-0.0956326385731474,0.04886065654729571,0.003848693911399429,0.24009267023549238,0.10557908499012608,-0.04255416266046988,-0.07498671171398705,-0.0635044037525524,-0.043540671317798936,-0.1098088666518629,0.010647649333370167,-0.17900053763984006,-0.17675363449821704,0.11278195488721804,0.3398496240601504,0.17871605872083554,-0.3207834963162267,0.39284395613856743,-0.025602438673126077,0.05718587021416621
Calls Count,0.2546130699607557,0.028290341106750636,-0.1547648072310476,1.0,0.44413169602355196,0.7248739068181156,0.2546130699607557,0.21198706006247964,0.19202665401685812,-0.07171987865009902,-0.04881366370176729,0.003414063084916742,-0.1252336970658054,-0.2878765849748735,0.27946449343074514,0.263559624363236,-0.4696446794558439,0.24836665514447154,0.15568940071369064,0.049723756906077346,0.24436064662279847,0.22359367911793848,0.34497310492481936,,0.457699838444067,-0.21333066671666562,-0.22811508013594758,-0.304956084586627,0.1353560599647608,0.15180575525903642,-0.29454300293794106,0.15258378338091888,0.004764559231188225,0.1418761494594509,-0.03881893860185529,-0.025530348876546115,0.18470668514532285,0.1956046886385473,0.12481032841213516,0.05824481992566307,-0.06592546950078887,0.534993312625388,0.2133700045150149,-0.04166614584309875,0.01165773249520758
Connection Made Calls,-0.10356884989778373,-0.1510379061009346,0.13269758893153538,0.44413169602355196,1.0,-0.28394428151515916,-0.10356884989778373,-0.09999906371278451,0.0790233055543475,0.0075689875079105,0.16422851458011414,0.18757713857842814,-0.11317063468021343,-0.16589086726447982,0.31032126996564474,0.1674681820897185,-0.18691783867576728,0.20098522366557756,-0.022745177944801437,0.11461463123188438,0.05922772368075152,0.24745603238440456,0.24745603238440456,,0.6062210410348648,-0.16315069428524617,-0.10351914929270738,-0.12756599304398017,0.2404995774559747,0.13877480123748218,-0.1937244125432402,0.08850592749251697,0.046332170656399094,0.12147872400933701,-0.013677114779421361,0.04901655499762752,0.08850592749251697,0.10509460763173473,0.08307084835551402,0.004315368745740988,-0.15177738140366506,0.023770299829638516,0.31872484160300174,-0.04970153600742599,0.2526390972994435
Dial Attempt Calls,0.3077187492404147,0.17117473832344612,-0.2839719647331158,0.7248739068181156,-0.28394428151515916,1.0,0.3077187492404147,0.3289376457603889,0.16877841439826607,-0.113052520345614,-0.11459171006676548,-0.07307660277693348,-0.01974329441415196,-0.19018144357818267,0.10216699540450364,0.15255399117468235,-0.3461481303480506,0.11256102934068846,0.16949166947855687,0.006569854140345459,0.1950288510483207,0.11679947879987496,0.18896826244857817,,0.09505208333333333,-0.08373448178344739,-0.1481892005627829,-0.20866797394837694,-0.034774831680002484,0.06794810353177662,-0.15374518293767542,0.09549685756844291,-0.030453379986361676,0.062072957419487894,0.029603437500714785,-0.08523943537943302,0.12892075771739794,0.12904635030219097,0.10982887834625733,0.10290273286496182,0.09698850043738873,0.5232166435699435,-0.055502907069207165,-0.013873168579506077,-0.19704863414745485
lead_id,1.0,-0.07819548872180451,0.1293233082706767,0.2546130699607557,-0.10356884989778373,0.3077187492404147,1.0,0.1043441571377608,-0.23991085069390128,0.5531287684413388,-0.25629043855617245,-0.2568294821230591,-0.16888947622336692,0.26013299085723596,0.18257352139132968,-0.007886077287953323,0.18213900713927195,-0.06984034148488917,-0.12483326794143798,-0.29788065047696255,-0.11736791530286529,-0.42718135564130577,-0.13132940325459064,,-0.31167654665829786,0.10165674179035354,0.07329098482094357,0.1339345481167001,0.11023122595717574,0.019266256385059504,0.18491717956095094,0.15239234961229628,0.16252821977348156,0.1499734234279741,0.18072709303119103,0.4409901432237477,-0.014513557105932978,-0.021791543979232237,0.13383458646616542,0.16691729323308271,-0.29327763482393526,0.3689763220538758,0.4555061822710996,-0.0015060258043015338,0.09330326192837646
technical_quality_score,0.1043441571377608,-0.03893438699170179,-0.07241795980456532,0.21198706006247964,-0.09999906371278451,0.3289376457603889,0.1043441571377608,1.0,-0.05391217329365147,0.28018160155672556,-0.09372694091932315,-0.03394724623214099,-0.17269149380409446,0.014967108502231243,-0.027390546061602333,-0.16579523509514862,0.04486079229828474,-0.10849571623191064,0.07387666280475536,-0.08789707368444277,0.1256730606231252,0.07622645670157975,0.15992609543272615,,-0.008197822947299411,0.24526639354953902,0.13401826918043128,-0.13392684194501625,-0.12784522641610868,-0.13089291892550262,-0.08293439626989357,-0.32316722117655633,-0.4943794763675088,-0.3369456685910607,0.14768333855040253,0.25684391661166944,-0.23298101991798248,-0.23007347043586496,-0.0739753352842334,0.08643433912157797,0.45164666424879113,0.2932278663740117,-0.008320054952480426,0.38369178259578124,-0.2965137115231929
customer_talk_percentage,-0.23991085069390128,0.20369789209859543,0.2844226123006314,0.19202665401685812,0.0790233055543475,0.16877841439826607,-0.23991085069390128,-0.05391217329365147,1.0,-0.6979210538335343,0.2682268469296974,0.298331723162335,0.113979475096476,-0.2610176323366166,-0.09758954244082124,0.31968098586732013,0.059550071960350434,0.3496018557923622,0.1013991648707948,0.2321017818116807,0.10678876715492946,0.2693443900746518,0.48945378411415214,,0.3911687957230402,0.3184743120291787,0.1593371595973682,0.11817053750990979,0.06439395787246531,0.2915231772195527,0.034159102225673386,0.06553311193017358,-0.060480346384031713,0.03155297981823173,0.17139468377317305,0.11129019885287997,0.3567913871753895,0.3692865516991107,0.2964935984990667,0.4398365596054857,0.09847483463399463,0.08915769589428964,0.014106643048862269,0.0015111473880388075,0.05398282343365723
agent_talk_percentage,0.5531287684413388,-0.3217792699243211,-0.06857590998387171,-0.07171987865009902,0.0075689875079105,-0.113052520345614,0.5531287684413388,0.28018160155672556,-0.6979210538335343,1.0,-0.10023285114202576,-0.12522685827376612,-0.0369476351299948,0.3186599164150409,0.15904454971898146,-0.15570733914295856,0.3030841709862893,-0.18561376430046,-0.07149474459848228,-0.1551150863827723,-0.08025000934975665,-0.32111114632712484,-0.4310410883129874,,-0.35899133653607257,0.002641510186261463,0.15571324878058498,0.12768009422686422,0.1736665990739365,-0.05792958509578303,0.2310880308193263,0.007273202818154843,0.14671434106144213,0.04121481596954411,0.040507236408300035,0.2619024859852643,-0.2836549099080389,-0.2960650558468014,-0.039186234276498116,-0.12961600568380147,-0.001530944843883857,0.06188681007812571,0.3099943470596713,0.25056610909680166,-0.1972098774140005
