,LQ_Company_Name,LQ_Company_Address,LQ_Service,LQ_Customer_Name,Calls Count,Connection Made Calls,TO_Event_O,timezone,season_status,TO_User_M,lgs_sentiment_style,lgs_agent_gender,TO_length_in_sec,is_decision_maker,ready_for_customers,forbidden_industry,ready_to_transfer,customer_sentiment_lgs,customer_sentiment_omc,customer_language,customer_knows_marketing,customer_availability,who_said_hello_first_lgs,customer_marketing_experience,technical_quality_score,technical_quality_issues,TO_OMC_Disposiion,omc_agent_sentiment_style,omc_who_said_hello_first,customer_talk_percentage,total_discovery_questions,total_buying_signals,time_to_reason_seconds,location_mentioned,business_type_mentioned,within_45_seconds,call_structure_framed,total_objections,objections_acknowledged,price_mentions_final_2min,timeline_mentions_final_2min,contract_mentions_final_2min,objections_rebutted,total_interruptions,commitment_type,call_result_tag,TO_OMC_Duration
LQ_Company_Name,1.0,0.8224285249450755,0.6609486235908402,0.759182576478122,-0.10232539228594147,0.10745441354737441,0.8263862526690698,0.08517867423958345,0.1610329842436071,0.39892945328647095,-0.012614162001295046,0.36949354178447913,0.20516100601784476,-0.04246459461682314,0.024315769964671802,0.0,0.0446596636789102,-0.02947612153026575,0.2765652509781064,-0.07370678172451343,0.19806664646767627,0.04707780486517516,0.18482583066488967,-0.006792234120287017,0.030902151933671382,0.23906002449828376,0.3636882878061385,0.18499120889661666,0.1562834286255215,-0.056630591361425946,0.4668149039226742,0.3046945770344563,-0.10614456423720042,0.38347283974001234,0.13998549013040695,0.12771220262826855,0.09782471251074265,0.08596771657186414,0.20355290089117908,-0.06344636470961089,-0.13643012762208823,0.036629635374278276,0.20510233700073704,0.2574583043239897,0.18910938244536923,0.1814408481285258,0.8263610516225408
LQ_Company_Address,0.8224285249450755,1.0,0.7464674617372141,0.9014314326094343,-0.00485629070851457,0.1099384048086801,0.934968689853648,0.18607207752056484,0.1831361139100169,0.4244909925815777,0.07777943004911606,0.3644087798204493,0.298169974230944,0.03996366773113254,0.014406757911153171,0.1547342316480109,0.019973193911047512,0.0638453296265193,0.3237528784452914,-0.05104222259380956,0.1425840185658804,-0.03686882554177541,0.1413410558924821,0.03227192984034333,0.05066563272141626,0.2533541064735398,0.4335032143765651,0.19830686470526643,0.2077413768079825,-0.032696472703761276,0.4277618656287027,0.42765260988317555,-0.10103311155281267,0.40757180453044567,0.21450145935195294,0.1516776798586159,0.15356194688618371,0.18472522407812125,0.34609587276221576,-0.0019013428468327648,-0.07345442617879976,0.0390725589497525,0.2891990127951009,0.3401535935385211,0.27266702099844875,0.2777645152968959,0.9348908588719187
LQ_Service,0.6609486235908402,0.7464674617372141,1.0,0.7484527424120976,-0.1276290200197957,0.11461962382946525,0.7462537917873735,0.15517171044321176,0.16394169606258283,0.4466339999807829,-0.006905454904280521,0.30517325783452065,0.17698848565799302,0.0032978851533520584,0.09992673617814664,0.14704293826767356,-0.024486128189053765,0.021572657630568176,0.31977814731853194,-0.04177883180944731,0.08043255304375065,0.11928235638500473,0.04813040016196954,0.1678223252259875,0.21782312391424785,0.312291926665605,0.45992586415215475,0.20119946664347288,0.13623846737249462,-0.014975441925727783,0.31931885451754,0.4050370753411739,-0.094520931770536,0.25395740775524517,0.11209865036274316,0.010662773690033938,0.11764038778442445,0.2493070124480645,0.337889416325293,0.005448040057359015,-0.017461269960043598,0.05836039446894614,0.33261810446881673,0.30030411714281485,0.19870918714803973,0.3257857899161074,0.7474257669091254
LQ_Customer_Name,0.759182576478122,0.9014314326094343,0.7484527424120976,1.0,-0.05110453251917049,0.1329719706342756,0.9170340389796697,0.10858221130243778,0.22592240630218782,0.3923604660553235,0.008022159471612713,0.3614406573422379,0.22977649521610666,0.0040931948402850955,0.1123058059695385,0.1472695007229081,-0.016359617329829938,0.16395243207437527,0.3663599676112547,-0.09755735669494058,0.1418691369297696,0.04134101773969505,0.10307163426065553,-0.02773352634582248,0.08745922222721327,0.2992329917386722,0.42773332005503995,0.2708086286017926,0.18277379179221537,-0.02482796465699282,0.4204612112325032,0.3976585537788644,-0.06308934801678136,0.3218630149031568,0.1987243000416862,0.14446626813093155,0.11218879608432755,0.16070876292579508,0.3311752758293944,0.02763672492630213,-0.11543488596368284,-0.02062809638701364,0.20240722688373952,0.3066296210832128,0.22720204531383148,0.2756579139756447,0.9168711175246673
Calls Count,-0.10232539228594147,-0.00485629070851457,-0.1276290200197957,-0.05110453251917049,1.0,0.41458789700202353,0.01332629503645044,0.210937062928619,-0.051112598758801905,-0.02547073785668244,-0.059191586116382984,-0.019975085033253386,-0.21348175695637242,0.024234287778736836,0.03380729709162232,0.22484851548049173,-0.04905742988947754,0.05351236389697571,-0.05762413632003181,-0.013390497244614196,0.07177942778058358,-0.0555804788514046,-0.03956469065790523,-0.13764601366406048,0.04977862953994016,0.01451744021738907,0.014803556666607902,0.001354298421350787,0.12960665014676045,0.05287446273227437,-0.11494485097060445,0.07556310516992801,-0.22421053880862452,0.11761533360089602,0.17245747902040898,0.28675591220736213,0.14212498806089635,-0.09405741838610887,-0.014992063114164247,-0.13824062045722665,-0.0027252504846215215,-0.0397357882520612,-0.07633815869797042,0.0112392755430996,0.007892740734578671,-0.03173590849870263,0.012435570868083539
Connection Made Calls,0.10745441354737441,0.1099384048086801,0.11461962382946525,0.1329719706342756,0.41458789700202353,1.0,0.13507207925211895,0.10026978304443732,-0.032113739266598246,0.04957645452060242,-0.041773426849004175,0.08939285225560077,-0.0834209069534719,-0.03187545112567722,0.23444438682739357,-0.025029568313113763,-0.1044355624234626,-0.05544250873455552,0.17181176543414797,0.06084343084444759,-0.05188745216627708,0.12762625724537072,0.25635180521634054,-0.1458573766316712,0.05179551521858678,0.22230845002824165,0.030018042220422907,-0.06076347125396731,-0.07251426049119797,-0.04394860363985727,0.07732155640397938,0.16103073873382515,-0.0752111124708453,0.11353088035946804,0.11994004496253277,0.24111729563559606,0.05960287788775851,-0.02078738915139002,-0.020069738148018063,-0.034164510148797705,0.00485118429219631,-0.10872569806906476,-0.0076183337574623295,-0.07483378982373744,-0.08633150286950776,-0.15721984742932305,0.13508194887102123
TO_Event_O,0.8263862526690698,0.934968689853648,0.7462537917873735,0.9170340389796697,0.01332629503645044,0.13507207925211895,1.0,0.18833358956005414,0.20937245975592975,0.4639851600698777,0.009459977489082692,0.42828484571741027,0.2729407847035634,0.03351441631535548,0.07314559794423654,0.16223709022117513,0.07366449784482264,0.09980767092234849,0.3822141576093501,-0.07887520116840946,0.11254796978562695,0.050136369022199104,0.07801610724394074,0.05194993748257698,0.06987051030851127,0.2544091768378579,0.47171386819075656,0.26616059924222085,0.13878700071156683,0.037184438723475606,0.518366980055045,0.4834841691134334,-0.07935319931658474,0.29071591801862606,0.13338250620114872,0.12706803476194223,0.09406416616081834,0.18014569768697247,0.3421777015977783,-0.023470918360055295,-0.059643875217219346,0.04949511691096306,0.2887096896277582,0.35087818044723795,0.3029850433358099,0.30145485872352973,0.9999269360637395
timezone,0.08517867423958345,0.18607207752056484,0.15517171044321176,0.10858221130243778,0.210937062928619,0.10026978304443732,0.18833358956005414,1.0,-0.03376818794888941,0.09073846698415698,-0.1769151895008927,0.017637973321520065,0.07220281622740526,-0.1277893341427564,-0.16873229618669996,-0.017937389650729246,-0.08244403206559035,-0.047385088891492594,0.1469750325890429,-0.029821961162435028,0.12729583184932236,0.10125707600193926,0.08597836895669045,-0.0023704383401616093,0.15270780468922948,-0.10274385210632998,-0.008486085195813948,0.08641067327629076,-0.17035188741149102,0.27831255206863864,0.24747165624516818,0.2843440530308686,0.0787755167887162,0.15336343034243285,-0.05372545592266344,0.14841736298917688,-0.09187564017015397,0.02939123247310355,0.04429783876369801,0.2826240425864765,0.04883649557339007,0.0532911030849632,0.08250254533958043,0.25897221454399294,0.0852683016405299,0.04564402068284494,0.18876108000102002
season_status,0.1610329842436071,0.1831361139100169,0.16394169606258283,0.22592240630218782,-0.051112598758801905,-0.032113739266598246,0.20937245975592975,-0.03376818794888941,1.0,0.001269765851773379,-0.1546809599835558,0.18911160742641606,0.04035510473235015,-0.17121512967581448,0.18667258647670906,-0.009442147048117754,0.03788827099937434,0.17739404398066105,-0.010013789105764693,-0.14345348813014266,-0.14820319825847278,0.05252257314388903,-0.23150449164963535,0.04507862804459435,0.09936843915716953,0.018099701141461796,0.07004234874768173,0.21456946194485654,0.07030508664065414,-0.14191567680822262,-0.08098812517085807,-0.008744423571434035,-0.003778579062365634,0.047793962698557985,0.0950169098957875,-0.034471729850178066,-0.0342156534473022,-0.0024831199380016523,0.0705575186623048,-0.023105889715146842,-0.1457110275941695,0.06561468350301662,-0.04623795417778963,0.046376135278566044,0.11490657564727842,0.10253398225004097,0.20938775844976684
TO_User_M,0.39892945328647095,0.4244909925815777,0.4466339999807829,0.3923604660553235,-0.02547073785668244,0.04957645452060242,0.4639851600698777,0.09073846698415698,0.001269765851773379,1.0,0.17276041261420136,0.5761093688158451,0.1351705861117361,0.21091760913576965,-0.08660975532246186,0.11837592097509181,0.06465787155291937,-0.11774391830417422,0.2774435449495012,0.1024573459015715,-0.053711603376269526,0.23001377085846184,0.12659580597955292,0.09937936299558187,0.33944993826297826,0.3196452935365584,0.1974273819638253,0.08568915915699798,0.10569029408016169,0.13622271542184394,0.31288533500249494,0.40491678526046243,0.07389597942984791,0.03261905721336395,-0.05034027462823187,-0.10779652796938577,0.0833096691745903,0.06493019962484771,0.06853553913473509,0.18591674441801204,0.2299936875147533,0.04652874738847572,0.1062726342563183,0.25353094237845647,0.09493326201736807,0.20357885561872793,0.46173500975661025
