Variable,Missing_Count,Missing_Pct
technical_quality_issues,63,37.72455089820359
LQ_Company_Name,55,32.93413173652694
ready_for_customers,24,14.37125748502994
customer_marketing_experience,23,13.77245508982036
LQ_Service,20,11.976047904191617
timezone,18,10.778443113772456
customer_sentiment_lgs,14,8.383233532934131
season_status,11,6.58682634730539
customer_knows_marketing,11,6.58682634730539
ready_to_transfer,10,5.9880239520958085
lgs_agent_gender,10,5.9880239520958085
who_said_hello_first_lgs,10,5.9880239520958085
customer_availability,10,5.9880239520958085
is_decision_maker,10,5.9880239520958085
customer_language,8,4.790419161676647
time_to_reason_seconds,5,2.9940119760479043
technical_quality_score,5,2.9940119760479043
lgs_sentiment_style,2,1.1976047904191618
customer_talk_percentage,1,0.5988023952095809
