Feature,Importance
TO_OMC_Disposiion,0.2003379250042914
LQ_Service,0.08881064876282826
total_discovery_questions,0.08287043876844229
technical_quality_score,0.08008854123661296
total_buying_signals,0.07866856618107966
call_result_tag,0.04520812041600828
customer_talk_percentage,0.04400411893884946
total_interruptions,0.0350343587625439
commitment_type,0.028884078440997572
time_to_reason_seconds,0.025291494817790347
omc_who_said_hello_first,0.02298067303444258
customer_sentiment_omc,0.02263353886011518
timezone,0.02116898313377802
customer_marketing_experience,0.020372649962495156
TO_User_M,0.01801287665394899
objections_acknowledged,0.017440436919338966
TO_length_in_sec,0.016531800851356436
LQ_Company_Name,0.01569127226326921
TO_Event_O,0.013899538845279747
objections_rebutted,0.013812557302808046
omc_agent_sentiment_style,0.012715151125764847
Calls Count,0.012120833301997527
LQ_Company_Address,0.011846175381055082
location_mentioned,0.011548372079731504
is_decision_maker,0.008741785264989622
LQ_Customer_Name,0.008337912612786144
business_type_mentioned,0.006673691251845537
timeline_mentions_final_2min,0.006531672048562809
price_mentions_final_2min,0.004134772599841904
technical_quality_issues,0.0030693580180678986
total_objections,0.0028237098005338664
customer_language,0.002762249461783344
customer_sentiment_lgs,0.002454041852672004
lgs_agent_gender,0.002436624192320094
ready_to_transfer,0.0021779521795759612
ready_for_customers,0.0015374012817993314
customer_knows_marketing,0.0014578292574894945
season_status,0.0014210201157632552
who_said_hello_first_lgs,0.0013978105837181129
customer_availability,0.0013664052890267333
lgs_sentiment_style,0.0010670425633345119
call_structure_framed,0.0006773255269992736
within_45_seconds,0.0005372225743659416
Connection Made Calls,0.0002114687458129762
contract_mentions_final_2min,0.0002095537338857053
forbidden_industry,0.0
