Variable,Missing_Count,Missing_Pct
technical_quality_issues,83,56.849315068493155
LQ_Company_Name,50,34.24657534246575
customer_marketing_experience,28,19.17808219178082
ready_for_customers,25,17.123287671232877
customer_sentiment_lgs,23,15.753424657534246
LQ_Service,21,14.383561643835616
timezone,17,11.643835616438356
customer_availability,14,9.58904109589041
lgs_agent_gender,13,8.904109589041095
customer_knows_marketing,13,8.904109589041095
who_said_hello_first_lgs,12,8.21917808219178
season_status,12,8.21917808219178
is_decision_maker,12,8.21917808219178
ready_to_transfer,10,6.8493150684931505
customer_language,10,6.8493150684931505
technical_quality_score,5,3.4246575342465753
time_to_reason_seconds,4,2.73972602739726
