Feature,Importance
TO_OMC_Disposiion,0.3443983381848925
LQ_Service,0.27072399520771767
customer_talk_percentage,0.10933925295374305
total_interruptions,0.06514571458061452
objections_rebutted,0.020755576917815394
call_result_tag,0.020706339352336272
time_to_reason_seconds,0.016779477002450097
omc_who_said_hello_first,0.016509845858855884
TO_Event_O,0.012517019806650022
lgs_agent_gender,0.01224246164450847
LQ_Company_Name,0.01125699796634074
total_buying_signals,0.01113156597869909
TO_User_M,0.010818208333040733
TO_length_in_sec,0.010149343931216089
commitment_type,0.009044805176724104
total_discovery_questions,0.006522533936716511
customer_sentiment_omc,0.006053042333570044
total_objections,0.0059299657159805315
LQ_Company_Address,0.0052505280741011635
location_mentioned,0.004730895144187954
timeline_mentions_final_2min,0.003360455247767213
Calls Count,0.0031293923417840784
timezone,0.003020360165520535
lgs_sentiment_style,0.0027559185663847377
ready_for_customers,0.002717163592403876
technical_quality_score,0.0023854712573618147
customer_availability,0.0018257002072488932
LQ_Customer_Name,0.0017977295624320682
objections_acknowledged,0.0016694674013291006
within_45_seconds,0.001607219402918736
is_decision_maker,0.0014552232801215634
customer_knows_marketing,0.0008319629104116931
price_mentions_final_2min,0.0005980569128518579
season_status,0.0005979513366575009
who_said_hello_first_lgs,0.0005754484972379315
ready_to_transfer,0.0004096501096897157
customer_sentiment_lgs,0.00030966343180290827
customer_marketing_experience,0.0002430335656834968
omc_agent_sentiment_style,0.00020879847518950821
call_structure_framed,0.00013637441451254197
technical_quality_issues,0.00011252705877580126
Connection Made Calls,0.00010621145959200344
customer_language,8.899063511625111e-05
business_type_mentioned,4.7975048909769546e-05
contract_mentions_final_2min,3.3470181354832028e-06
forbidden_industry,0.0
