Feature,Cohens_D,Abs_Cohens_D,High_Mean,High_CI_Lower,High_CI_Upper,Low_Mean,Low_CI_Lower,Low_CI_Upper,P_Value,Significant,Effect_Category
lgs_sentiment_style,-1.668147130489813,1.668147130489813,5.176500287447588,4.9347405154635515,5.451902376522726,5.748441324465929,5.51876205319607,5.988071642941475,0.022299041526610587,True,Large
TO_length_in_sec,0.9990715060239241,0.9990715060239241,179.9277656013933,170.93238394333616,188.92314725945045,171.46698553314368,168.08265289438688,175.0319715329266,0.13335913127634802,False,Large
total_call_duration,0.8714320365075099,0.8714320365075099,484.1987452553675,408.8623303439508,575.501805004786,412.71771359839795,372.199214710836,457.3609913738509,0.18397207934009346,False,Large
signal_ratio,0.8663107583801297,0.8663107583801297,58.85386278977387,55.11255089960379,61.909682434740866,53.668519442720616,48.815392314092115,58.521646571349116,0.1863151951702106,False,Large
long_monologues,0.8419860550629709,0.8419860550629709,3.0606648179228073,2.617723348019194,3.5036062878264205,2.661148222163647,2.3942312799515184,2.8944428090586345,0.19779991038608852,False,Large
very_long_monologues,0.7971068078024147,0.7971068078024147,1.12386611536748,0.7915469139835185,1.5400445873671174,0.8326167526058406,0.647391779635793,1.0201447558789183,0.22058320040592763,False,Medium
sentiment_early_middle,0.7078823912664884,0.7078823912664884,40.82188700371576,39.76232129871357,42.201440341058955,39.63536477751399,38.40905021627446,40.861679338753525,0.27242159334946797,False,Medium
objections_acknowledged,0.6901348917778083,0.6901348917778083,1.0021669687636359,0.7612645689870238,1.2430693685402479,0.8216727085491226,0.662717313808098,0.9693119508051683,0.2838261633619846,False,Medium
forbidden_industry,0.6811335794121388,0.6811335794121388,4.083112176451214,4.0650019645744235,4.10702087910507,4.062303033093671,4.041765397328899,4.088430916528234,0.2897537986091417,False,Medium
sentiment_progression,-0.65458368567153,0.65458368567153,3.78215186095172,3.4285405242626252,4.1311746100169975,4.092627090813225,3.7029601377707544,4.402706026515231,0.3078069456842877,False,Medium
extended_monologues_count,0.6485770644139955,0.6485770644139955,3.616976281053258,3.0705836547399272,4.163368907366588,3.2422505097795127,2.8998010501615656,3.5152065086766004,0.3120102666574401,False,Medium
total_interruptions,0.634704882043261,0.634704882043261,2.1557208976598186,1.4113019743402158,3.298300450464813,1.5952976439378217,1.372265857638456,1.862041537225451,0.32188707217517015,False,Medium
agent_talk_percentage,-0.6322993580474032,0.6322993580474032,59.270500054388705,58.25097714872826,60.29002296004916,60.47725831889567,58.906209620837,62.12013566294504,0.3236239068896606,False,Medium
disconnect_stage,-0.6266793748162697,0.6266793748162697,64.59615940777246,61.723429141100574,67.686417277927,67.34328844537475,63.7005563853209,70.59565279933423,0.3277095414744712,False,Medium
customer_sentiment_lgs,-0.6079888371980839,0.6079888371980839,8.219823817221492,7.846856430289227,8.59279120415376,8.44194795809886,8.28442976616561,8.604930366626553,0.3415793935621187,False,Medium
acknowledgement_rate,0.6024522105450317,0.6024522105450317,35.39568939577841,27.631870837203675,45.84822060452604,29.72179137917273,23.995447625821416,34.418565069536044,0.34577162385102345,False,Medium
customer_talk_percentage,0.6005961086138146,0.6005961086138146,40.28089392756546,39.339826350357484,41.22167813101303,39.16748141434991,37.49033676499922,40.680035673522944,0.34718560936618803,False,Medium
omc_agent_sentiment_style,-0.5362622938481103,0.5362622938481103,1.9150129823458932,1.4862473702375496,2.224066981384163,2.2278237272462813,1.7644191009309609,2.6912283535616024,0.3988724324601003,False,Medium
time_in_final_stage,0.5233607196401879,0.5233607196401879,110.68657544463278,95.9335102668376,123.73460628436699,101.70542442589219,90.87773006840978,114.3317937581961,0.40986596234107353,False,Medium
advanced_discovery_used,0.4573493843540607,0.4573493843540607,7.67932282548977,6.303381748070113,8.638813705475645,6.771532861086679,5.001982904953583,8.171479976878345,0.4693801991958184,False,Small
sentiment_opening,0.44666902059253427,0.44666902059253427,13.384679278635726,12.893604048533627,14.01652629310062,12.982422602106515,12.296802254390323,13.74823729744801,0.479517096017974,False,Small
total_buying_signals,0.41468894888141267,0.41468894888141267,2.1810241438665874,1.6841936878335044,2.8148225802631357,1.9242894784337174,1.5742905681195192,2.2741874928346664,0.5106973257115381,False,Small
hang_up_initiated_by,-0.38250433116409877,0.38250433116409877,16.917471933847207,14.534749952754598,19.765200080048213,17.847242390529825,16.886189419682307,18.75287044384567,0.5433021440908177,False,Small
price_timeline_contract_before_dropoff,0.3591380202170003,0.3591380202170003,1.951422901484347,1.848618069380517,2.0510096687905324,1.869788553614318,1.675466583650931,2.0773251849518597,0.5677190808932109,False,Small
total_objections,0.3521765424231367,0.3521765424231367,2.143320365960352,1.7881681988423561,2.480278509930161,2.017561517075534,1.832149949545572,2.2035272616112866,0.5751114921361888,False,Small
average_monologue_length,-0.32264485775311563,0.32264485775311563,4.570885055741889,4.15772817931419,4.961962241906799,4.910491429423687,4.129314318511701,6.005634570762045,0.6070544886375534,False,Small
sentiment_late_middle,-0.28018594943453684,0.28018594943453684,50.554581178648924,48.96169119464269,52.57996871251341,51.22118930922999,49.55993717343773,53.00579264117659,0.6545546012665087,False,Small
Dial Attempt Calls,-0.2751201812273033,0.2751201812273033,0.5356364171168267,0.45360642432018317,0.628251052107675,0.5600304153086069,0.5171856961900692,0.610944221518019,0.6603390920287705,False,Small
stages_skipped,0.26995155156425543,0.26995155156425543,268.9274296263717,249.90553261687938,289.9991249450054,260.0461282509269,230.31942534551524,284.1024199188181,0.666265700726677,False,Small
customer_marketing_experience,0.25255938810180295,0.25255938810180295,5.901794446633329,5.715809165922556,6.137932449063312,5.841996521009083,5.711269014371371,5.985080878754893,0.6863867972818709,False,Small
interruption_rate,0.2431910953018781,0.2431910953018781,0.2455619508712287,0.1791614199793209,0.32196779654854335,0.22821506787676757,0.19213445905707197,0.2625236783162269,0.697335517226516,False,Small
goal3_questions,0.2338455847544303,0.2338455847544303,0.29666370640599143,0.14610131514535693,0.44865115995100674,0.2549889107973887,0.14186293524363727,0.37169464933359553,0.7083318496821123,False,Small
sentiment_closing,-0.23372479746424046,0.23372479746424046,44.74814793970576,41.893579611829736,47.60060942293952,45.385310411363086,44.50935683943121,46.14852130272015,0.7084744486448391,False,Small
medium_monologues,0.2247308514776861,0.2247308514776861,6.31839553868168,5.660567677238542,6.979787403443906,6.043932949678806,5.046668423463145,7.03350912690551,0.7191258848835267,False,Small
total_resistance_signals,0.21982926016115004,0.21982926016115004,2.3770159471845727,2.0930489604543823,2.660982933914762,2.3054862616921565,2.106515220930071,2.5046033363641,0.7249580561189395,False,Small
name_usage_count,0.19743411588475018,0.19743411588475018,3.037045380250067,2.24946910056988,3.688269350672486,2.860295894097264,2.2023822765679384,3.469848575304343,0.7518388102479271,False,Negligible
lgs_call_not_transferred,0.18760780903799482,0.18760780903799482,162.60810991101692,159.06257970494505,165.68618813861315,161.70678832639115,157.91395133575574,165.57028431250777,0.7637484239019648,False,Negligible
price_mentions_final_2min,0.1873595739538485,0.1873595739538485,0.8562271941877242,0.7599967674236366,0.9299213936161838,0.8259991731636992,0.7019239982184545,0.9746019393447222,0.7640501556389748,False,Negligible
short_monologues,-0.1824334592343821,0.1824334592343821,14.498893465424421,13.20520652001899,15.681217756672428,15.016377549093392,12.63079443171327,17.771651501420276,0.7700465274806284,False,Negligible
TO_OMC_Duration,0.17658855318498196,0.17658855318498196,561.7895429075148,537.645466976617,590.5160622219557,557.2261204573603,546.1751413637515,569.7569589739611,0.7771822770703093,False,Negligible
technical_quality_issues,-0.16480916828564116,0.16480916828564116,47.54748201743166,46.13449937637002,48.959694876816826,47.80614288070411,46.993092388867616,48.9279795510628,0.7916297398727942,False,Negligible
empathy_response_rate,0.1483498492068807,0.1483498492068807,19.825838240708627,13.876378085023907,25.884563770777817,18.714939699731556,13.403186819594543,23.917851043235732,0.8119575370167377,False,Negligible
time_to_reason_seconds,-0.13535847537040036,0.13535847537040036,19.385840111440963,16.1205340568446,24.576533143993228,20.41334329381872,14.967443171982959,27.689626477825342,0.8281089574183855,False,Negligible
