Value_Feature,RF_Importance,GB_Importance,RF_Norm,GB_Norm,Combined_Score
total_interruptions_6.0,0.0,0.0005031335092941362,0.0,0.0009153756001132271,0.00045768780005661354
price_mentions_final_2min_5.0,0.0,0.00015934708325934967,0.0,0.00028990800507295797,0.00014495400253647898
objections_rebutted_6.0,0.0,2.6326228681645633e-05,0.0,4.7896605837261574e-05,2.3948302918630787e-05
total_interruptions_10.0,0.0,0.0,0.0,0.0,0.0
total_buying_signals_11.0,0.0,0.0,0.0,0.0,0.0
LQ_Service_Home Renovation,0.0,0.0,0.0,0.0,0.0
total_interruptions_8.0,0.0,0.0,0.0,0.0,0.0
commitment_type_Customer Agreed to Think It Over (,0.0,0.0,0.0,0.0,0.0
total_buying_signals_10.0,0.0,0.0,0.0,0.0,0.0
total_buying_signals_8.0,0.0,0.0,0.0,0.0,0.0
objections_rebutted_7.0,0.0,0.0,0.0,0.0,0.0
price_mentions_final_2min_7.0,0.0,0.0,0.0,0.0,0.0
total_interruptions_9.0,0.0,0.0,0.0,0.0,0.0
LQ_Customer_Name_James ,0.0,0.0,0.0,0.0,0.0
technical_quality_issues_Dead Air Detected,0.0,0.0,0.0,0.0,0.0
TO_OMC_Disposiion_BCC,0.0,0.0,0.0,0.0,0.0
total_buying_signals_12.0,0.0,0.0,0.0,0.0,0.0
total_buying_signals_15.0,0.0,0.0,0.0,0.0,0.0
total_discovery_questions_16.0,0.0,0.0,0.0,0.0,0.0
total_discovery_questions_18.0,0.0,0.0,0.0,0.0,0.0
total_discovery_questions_17.0,0.0,0.0,0.0,0.0,0.0
timeline_mentions_final_2min_6.0,0.0,0.0,0.0,0.0,0.0
TO_OMC_Disposiion_A,0.0,0.0,0.0,0.0,0.0
objections_acknowledged_6.0,0.0,0.0,0.0,0.0,0.0
LQ_Customer_Name_Mike ,0.0,0.0,0.0,0.0,0.0
technical_quality_score_4.6,0.0,0.0,0.0,0.0,0.0
objections_acknowledged_7.0,0.0,0.0,0.0,0.0,0.0
price_mentions_final_2min_8.0,0.0,0.0,0.0,0.0,0.0
contract_mentions_final_2min_2.0,0.0,0.0,0.0,0.0,0.0
is_decision_maker_Not Confirmed/Gatekeeper,0.0,0.0,0.0,0.0,0.0
"LQ_Company_Address_San Diego, CA, ",0.0,0.0,0.0,0.0,0.0
forbidden_industry_unknown,0.0,0.0,0.0,0.0,0.0
timeline_mentions_final_2min_9.0,0.0,0.0,0.0,0.0,0.0
LQ_Service_Air Conditioning Services,0.0,0.0,0.0,0.0,0.0
LQ_Service_Moving Services,0.0,0.0,0.0,0.0,0.0
LQ_Service_HANDYMAN,0.0,0.0,0.0,0.0,0.0
LQ_Customer_Name_Nick ,0.0,0.0,0.0,0.0,0.0
LQ_Service_Junk Removal  Hauling,0.0,0.0,0.0,0.0,0.0
call_result_tag_Unknown - Recording Incomplete,0.0,0.0,0.0,0.0,0.0
call_result_tag_Hard Decline (Not Interested),0.0,0.0,0.0,0.0,0.0
LQ_Service_CAR MECHANIC,0.0,0.0,0.0,0.0,0.0
"LQ_Company_Address_Toronto, ON, ",0.0,0.0,0.0,0.0,0.0
commitment_type_Follow-up Scheduled,0.0,0.0,0.0,0.0,0.0
contract_mentions_final_2min_3.0,0.0,0.0,0.0,0.0,0.0
Calls Count_8,0.0,0.0,0.0,0.0,0.0
LQ_Customer_Name_Alex ,0.0,0.0,0.0,0.0,0.0
