Variable,Value,Count_Short,Count_Long,Total_Count,Pct_Short,Pct_Long,Pct_Difference,Chi_Square,P_Value,Significant,Direction,Importance_Score
TO_OMC_User,ERNESTOALFAROCORONA,17,5,22,77.27,22.73,-54.55,2.0312,0.1541,No,Favors Short Calls,27.27
objections_acknowledged,0,77,23,100,77.0,23.0,-54.0,27.4788,0.0,Yes,Favors Short Calls,27.0
total_discovery_questions,3,10,3,13,76.92,23.08,-53.85,0.8309,0.362,No,Favors Short Calls,26.92
ready_for_customers,UNKNOWN,15,5,20,75.0,25.0,-50.0,1.2162,0.2701,No,Favors Short Calls,25.0
TO_User_M,CLIFFORDBOLARDE,12,4,16,75.0,25.0,-50.0,0.8425,0.3587,No,Favors Short Calls,25.0
customer_availability,busy,6,2,8,75.0,25.0,-50.0,0.1978,0.6565,No,Favors Short Calls,25.0
time_to_reason_seconds,18.0,6,2,8,75.0,25.0,-50.0,0.1978,0.6565,No,Favors Short Calls,25.0
customer_knows_marketing,No,6,2,8,75.0,25.0,-50.0,0.1978,0.6565,No,Favors Short Calls,25.0
technical_quality_score,4.2,12,4,16,75.0,25.0,-50.0,0.8425,0.3587,No,Favors Short Calls,25.0
price_mentions_final_2min,4,2,6,8,25.0,75.0,50.0,3.2085,0.0733,No,Favors Long Calls,25.0
Connection Made Calls,2,15,5,20,75.0,25.0,-50.0,1.2162,0.2701,No,Favors Short Calls,25.0
TO_OMC_Disposiion,HU,29,10,39,74.36,25.64,-48.72,3.0514,0.0807,No,Favors Short Calls,24.36
price_mentions_final_2min,0,84,29,113,74.34,25.66,-48.67,27.921,0.0,Yes,Favors Short Calls,24.34
lgs_sentiment_style,Hesitant & Apologetic,14,5,19,73.68,26.32,-47.37,0.8698,0.351,No,Favors Short Calls,23.68
call_result_tag,Follow-up Scheduled,5,14,19,26.32,73.68,47.37,9.5476,0.002,Yes,Favors Long Calls,23.68
omc_agent_sentiment_style,Consultative & Validating,11,4,15,73.33,26.67,-46.67,0.531,0.4662,No,Favors Short Calls,23.33
total_buying_signals,3,3,8,11,27.27,72.73,45.45,4.3348,0.0373,Yes,Favors Long Calls,22.73
TO_OMC_User,ARTURODELEON,16,6,22,72.73,27.27,-45.45,0.9076,0.3408,No,Favors Short Calls,22.73
omc_agent_sentiment_style,Not Found in Transcript,8,3,11,72.73,27.27,-45.45,0.237,0.6264,No,Favors Short Calls,22.73
total_buying_signals,2,3,8,11,27.27,72.73,45.45,4.3348,0.0373,Yes,Favors Long Calls,22.73
LQ_Customer_Name, ,13,5,18,72.22,27.78,-44.44,0.5707,0.45,No,Favors Short Calls,22.22
location_mentioned,No,51,20,71,71.83,28.17,-43.66,5.3429,0.0208,Yes,Favors Short Calls,21.83
commitment_type,Follow-up Call Scheduled,4,10,14,28.57,71.43,42.86,5.511,0.0189,Yes,Favors Long Calls,21.43
timeline_mentions_final_2min,3,2,5,7,28.57,71.43,42.86,2.0213,0.1551,No,Favors Long Calls,21.43
TO_User_M,MARKCASEYALEGADO25,10,4,14,71.43,28.57,-42.86,0.2797,0.5969,No,Favors Short Calls,21.43
TO_User_M,JENNIFERLICUANAN,5,2,7,71.43,28.57,-42.86,0.0277,0.8678,No,Favors Short Calls,21.43
lgs_agent_gender,Male,50,20,70,71.43,28.57,-42.86,4.7782,0.0288,Yes,Favors Short Calls,21.43
total_interruptions,2,4,10,14,28.57,71.43,42.86,5.511,0.0189,Yes,Favors Long Calls,21.43
call_structure_framed,No,44,18,62,70.97,29.03,-41.94,3.4274,0.0641,No,Favors Short Calls,20.97
lgs_sentiment_style,Robotic & Script-Bound,12,5,17,70.59,29.41,-41.18,0.3252,0.5685,No,Favors Short Calls,20.59
commitment_type,No Commitment Secured,86,36,122,70.49,29.51,-40.98,18.6684,0.0,Yes,Favors Short Calls,20.49
who_said_hello_first_lgs,unknown,7,3,10,70.0,30.0,-40.0,0.062,0.8034,No,Favors Short Calls,20.0
total_discovery_questions,7,7,3,10,70.0,30.0,-40.0,0.062,0.8034,No,Favors Short Calls,20.0
total_objections,5,3,7,10,30.0,70.0,40.0,3.1142,0.0776,No,Favors Long Calls,20.0
TO_OMC_User,RAFAELVALDOVINOS,14,6,20,70.0,30.0,-40.0,0.3732,0.5413,No,Favors Short Calls,20.0
customer_marketing_experience,NOVICE (Job Seeker),7,3,10,70.0,30.0,-40.0,0.062,0.8034,No,Favors Short Calls,20.0
is_decision_maker,unknown,7,3,10,70.0,30.0,-40.0,0.062,0.8034,No,Favors Short Calls,20.0
ready_to_transfer,No,53,23,76,69.74,30.26,-39.47,3.8127,0.0509,No,Favors Short Calls,19.74
timeline_mentions_final_2min,0,82,36,118,69.49,30.51,-38.98,12.6031,0.0004,Yes,Favors Short Calls,19.49
TO_OMC_Disposiion,CALLBK,4,9,13,30.77,69.23,38.46,4.2558,0.0391,Yes,Favors Long Calls,19.23
