Feature,Low-DPAD Mean,Low-DPAD Std,High-DPAD Mean,High-DPAD Std,Difference,Abs Difference
total_call_duration,334.01619047619045,274.3500481678566,493.37333333333333,507.5414413293428,159.3571428571429,159.3571428571429
time_to_reason_seconds,33.19619047619047,29.70885832607084,18.6,3.4653843782312075,-14.596190476190472,14.596190476190472
agent_talk_percentage,72.1827142857143,15.830870758729345,58.49839999999999,7.985705654480383,-13.684314285714308,13.684314285714308
time_in_final_stage,83.00761904761904,70.87897333961607,69.88,26.301981336435894,-13.12761904761905,13.12761904761905
TO_length_in_sec,179.30666666666667,78.90566237955015,192.15333333333334,44.243176498378446,12.846666666666664,12.846666666666664
customer_talk_percentage,27.812095238095235,15.828567469628751,38.00186666666667,5.708255141070307,10.189771428571436,10.189771428571436
TO_OMC_Duration,23.38285714285714,8.185617052526476,15.306666666666667,9.131824692919933,-8.076190476190474,8.076190476190474
longest_monologue_length,10.735238095238095,4.71805236730047,18.706666666666667,21.054775124791895,7.9714285714285715,7.9714285714285715
notable_sentiment_shifts,14.447619047619048,8.27370503531144,21.6,5.692880544055784,7.152380952380954,7.152380952380954
short_monologues,14.23047619047619,11.402542581558862,9.34,7.781259538146765,-4.890476190476191,4.890476190476191
primary_disconnect_reason,6.657142857142857,3.4145546815755328,10.280000000000001,3.357379930838927,3.6228571428571446,3.6228571428571446
disconnect_stage,6.3238095238095235,4.918427564294855,4.573333333333333,2.800634848664773,-1.7504761904761903,1.7504761904761903
stages_skipped,15.331428571428571,7.64801161300459,17.05333333333333,4.17596296279872,1.72190476190476,1.72190476190476
average_monologue_length,3.3414666666666664,1.8078599011599936,4.919666666666667,3.2135560088820956,1.5782000000000007,1.5782000000000007
stages_out_of_order,4.454285714285715,1.0401334294312474,5.806666666666667,2.425146043712282,1.352380952380952,1.352380952380952
call_structure_clarity,17.615238095238094,6.793709909251775,18.46666666666667,8.54023158676365,0.8514285714285741,0.8514285714285741
medium_monologues,3.9171428571428573,2.092171999016665,4.6,3.6905284174491872,0.6828571428571424,0.6828571428571424
total_discovery_questions,4.220000000000001,3.5555590277760825,4.566666666666666,3.2050307677496988,0.3466666666666658,0.3466666666666658
signal_ratio,6.055238095238095,6.108231686099157,6.2,5.748236444529942,0.1447619047619053,0.1447619047619053
interruption_rate,0.1473047619047619,0.13890520103755455,0.08253333333333333,0.14664727144485923,-0.06477142857142858,0.06477142857142858
